,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_open,attributes,categories,hours
7123,-v5f5UElbdAfqUSnN35lNA,Enterprise Rent-A-Car,2415 Lancaster Ave,Wilmington,CA,19805,39.7491955059,-75.5798998475,2.5,10,1,,"Car Rental, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-16:0', 'Friday': '7:30-18:0', 'Saturday': '8:0-12:0'}"
8310,-VGUpTEsCUE9gJk50gbU6w,JetBlue,8500 Essington Ave,Philadelphia,CA,19153,39.876019,-75.242969,3.5,19,1,,"Airports, Food, Transportation, Shopping, Hotels & Travel, Airlines",
8437,WKp0r3Psm6vgVdyR3cDblg,TD Ballpark,373 Douglas Ave,Dunedin,CA,34698,28.003594,-82.7865490943,3.5,17,1,{'GoodForKids': 'True'},"Hotels & Travel, Active Life, Arts & Entertainment, Sports Clubs, Stadiums & Arenas",
8599,Mrd6WoEcDpZVkmozj5DB4w,Sully Mansion Bed & Breakfast,2631 Prytania St,New Orleans,CA,70130,29.930524,-90.0842865,4.0,58,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Hotels, Event Planning & Services, Venues & Event Spaces, Bed & Breakfast","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0', 'Sunday': '8:0-17:0'}"
8841,NKP_jXl7Gn6hkiR8D206Gw,Air Canada,8500 Essington Ave,Philadelphia,CA,19153,39.8737683,-75.2472932,1.5,5,1,,"Transportation, Airlines, Hotels & Travel",
9045,DkFtop1xc3_pPkGT_e43sA,Hotel Maison Pierre Lafitte,108 Roosevelt Way,New Orleans,CA,70112,29.9546333,-90.0720306,4.5,7,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'DogsAllowed': 'False'}","Event Planning & Services, Hotels, Hotels & Travel",
11342,1aj1hnqPt3rqoB8tVRHLEA,Hotel Monteleone,214 Royal St,New Orleans,CA,70130,29.954351,-90.067868,4.0,767,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'paid'"", 'RestaurantsPriceRange2': '3', 'DogsAllowed': 'True', 'ByAppointmentOnly': 'False'}","Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
11495,ps3_Cfg3Rad464aXa71PqA,Enterprise Rent-A-Car,707 E Market St,West Chester,CA,19382,39.9650765682,-75.5929487944,3.5,19,1,,"Hotels & Travel, Car Rental","{'Monday': '0:0-0:0', 'Tuesday': '7:30-18:0', 'Wednesday': '7:30-18:0', 'Thursday': '7:30-16:0', 'Friday': '7:30-18:0', 'Saturday': '9:0-12:0', 'Sunday': '9:0-12:0'}"
11660,TZodoH7csDIwQ5EfWqqsJw,Bourbon Orleans Hotel,717 Orleans St,New Orleans,CA,70116,29.9587637815,-90.0647292573,3.5,45,0,"{'RestaurantsPriceRange2': '3', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Hotels & Travel, Event Planning & Services, Hotels, Local Flavor",
12753,DlU5bGy4imZ5JzZYoQkdSg,College Hunks Hauling Junk & Moving - St Louis,1440 N Warson Rd,Saint Louis,CA,63132,38.687635,-90.394208,4.0,139,1,"{'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'True', 'BusinessParking': 'None', 'DogsAllowed': 'True', 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'WheelchairAccessible': 'True'}","Local Services, Packing Supplies, Home Cleaning, Recycling Center, Movers, Transportation, Junk Removal & Hauling, Self Storage, Home Services, Shopping, Hotels & Travel, Packing Services","{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '9:0-18:0'}"
13166,ZNdy7JaPmZpIYprPU-2wnw,Super 8 by Wyndham Clearwater/St. Petersburg Airport,"13260 34th St North, Ulmerton Rd  to 34th St North",Clearwater,CA,33762,27.8923076,-82.6803873,2.0,18,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""'free'""}","Hotels, Hotels & Travel, Event Planning & Services",
13924,CACvbdt4D9rvCw-F1WvarQ,Red Roof Inn Tampa Bay - St Petersburg,4999 34th St N,St Petersburg,CA,33714,27.81744,-82.67945,2.0,23,1,{'BusinessAcceptsCreditCards': 'True'},"Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-23:59', 'Tuesday': '0:0-23:59', 'Wednesday': '0:0-23:59', 'Thursday': '0:0-23:59', 'Friday': '0:0-23:59', 'Saturday': '0:0-23:59', 'Sunday': '0:0-23:59'}"
14866,2dPiEMXII3wF4uNCeWDEpg,Clayton Plaza Hotel,7750 Carondelet Ave,Clayton,CA,63105,38.648477,-90.3364872,3.5,151,1,"{'RestaurantsPriceRange2': '2', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Resorts, Event Planning & Services, Hotels, Venues & Event Spaces, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
15043,_uHF2ObRlgB2j7fTXCTmbw,Contempra Inn,2820 Williams Blvd,Kenner,CA,70062,30.0082944,-90.2396017,2.0,18,1,"{'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'DogsAllowed': 'False', 'BusinessAcceptsBitcoin': 'False'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
15661,DXDoeVULsKLb7LLyAfvuVg,Moxy Nashville Downtown,110 3rd Avenue South,Nashville,CA,37201,36.161118,-86.7753746,3.5,60,1,"{'WiFi': ""u'free'"", 'DogsAllowed': 'True', 'BusinessAcceptsBitcoin': 'False', 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
15680,kLnOdN3_HuF1iXjtkb79aw,Courtyard by Marriott Boise Downtown,222 S Broadway Ave,Boise,CA,83702,43.6075508711,-116.1914321411,3.5,53,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
16218,bpGUkmCXTOOwbNIY3rNWxA,Celebrations Limousine Service,129 Matthew Cir,Richboro,CA,18954,40.2382649,-75.0026287,3.5,5,0,,"Hotels & Travel, Transportation, Limos, Airport Shuttles","{'Monday': '9:0-19:0', 'Tuesday': '9:0-19:0', 'Wednesday': '9:0-19:0', 'Thursday': '9:0-19:0', 'Friday': '9:0-19:0', 'Saturday': '9:0-13:0'}"
18100,3fy9gov8g8eBRpPJ_vPP7w,Horseshoe Motel,490 Lake St,Reno,CA,89501,39.5315127,-119.8116052,1.5,7,1,{'RestaurantsPriceRange2': '2'},"Hotels, Hotels & Travel, Event Planning & Services, Tours",
18948,idGEh65tQfwFF-BMgInL_g,Page Terrace Beachfront Hotel,10500 Gulf Blvd,Treasure Island,CA,33706,27.7672245,-82.7690472,4.0,18,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '8:0-21:0', 'Tuesday': '8:0-21:0', 'Wednesday': '8:0-21:0', 'Thursday': '8:0-21:0', 'Friday': '8:0-21:0', 'Saturday': '8:0-21:0', 'Sunday': '8:0-21:0'}"
20179,8rhUPc37gyqqeCnmRbZx-Q,Motel 6,2323 Airport Way,Boise,CA,83705,43.5688032,-116.210328,2.0,39,1,"{'WiFi': ""'paid'"", 'RestaurantsPriceRange2': '1', 'BusinessAcceptsCreditCards': 'True'}","Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
20971,hlubyxgPyNJwo-C-Ype3QQ,One11 Hotel,111 Iberville St,New Orleans,CA,70130,29.9519718,-90.064805,4.0,9,1,,"Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
21426,ap-SkQRLsBQBsvAlAhK5uA,Fairfield Inn & Suites Tampa Brandon,10150 Palm River Road,Tampa,CA,33619,27.9417008078,-82.3345257063,2.5,27,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
22469,sH7cZAjbzvrpiTudvwluHg,Murder House,1400 N Channelside Dr,Tampa,CA,33602,27.956634,-82.446766,4.5,7,1,"{'GoodForKids': 'False', 'ByAppointmentOnly': 'False', 'WiFi': ""u'free'"", 'DogsAllowed': 'False'}","Social Clubs, Hotels & Travel, Haunted Houses, Festivals, Tours, Arts & Entertainment","{'Friday': '19:0-0:0', 'Saturday': '19:0-0:0'}"
22491,kta13NBaVJ8F9tfJYhdU-g,AAA St. Petersburg,1518 66th St N,Saint Petersburg,CA,33710,27.7862387,-82.7296643,1.0,6,1,,"Hotels & Travel, Insurance, Travel Services, Travel Agents, Financial Services","{'Monday': '8:30-17:30', 'Tuesday': '8:30-17:30', 'Wednesday': '8:30-17:30', 'Thursday': '8:30-17:30', 'Friday': '8:30-17:30'}"
22640,1M0FpaH6os3Punr90bvIDw,SpringHill Suites Tampa Brandon,1051 S Falkenburg Rd,Tampa,CA,33619,27.9401753359,-82.338012074,3.0,33,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-23:59', 'Tuesday': '0:0-23:59', 'Wednesday': '0:0-23:59', 'Thursday': '0:0-23:59', 'Friday': '0:0-23:59', 'Saturday': '0:0-23:59', 'Sunday': '0:0-23:59'}"
23143,OzOZLMWKF4h9bVq4ZrpIvA,Sleep Inn,140 Venita Drive,O Fallon,CA,62269,38.593634,-89.937904,3.0,25,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'"", 'RestaurantsPriceRange2': '2'}","Hotels & Travel, Hotels, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
23197,YQP1MseLyRjPOQ66pdi2uw,Clarion Inn Levittown - Philadelphia Langhorne,6201 Bristol Pike,Levittown,CA,19057,40.1220644463,-74.842993497,1.0,12,1,,"Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
24972,k1EL0UvRYao_La9zdeUfJw,Hilton New Orleans Airport,901 Airline Dr,Kenner,CA,70062,29.981288,-90.2571349,2.5,111,1,"{'WiFi': ""'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels, Event Planning & Services, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
26208,w37sJQmXgGzRK6MCackIyw,Seaside Inn & Suites,401 S Gulfview Blvd,Clearwater,CA,33767,27.9710464276,-82.8292674199,1.5,69,1,,Hotels & Travel,
29676,CwpPzFufdnHXxXT3XMJRkw,S.F. Shannon,4917 Mcpherson Ave,Saint Louis,CA,63108,38.6489398,-90.2614849,3.5,5,1,"{'BusinessAcceptsCreditCards': 'True', 'BusinessAcceptsBitcoin': 'False'}","Apartments, Vacation Rentals, Hotels & Travel, Real Estate Services, Home Services, Venues & Event Spaces, Real Estate, Event Planning & Services","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0'}"
31369,IRmwSso4FSZ-G2TOuiRsPw,Keith's Kars,9490 S Virginia St,Reno,CA,89511,39.4442553,-119.7728002,3.5,12,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False'}","RV Dealers, Automotive, Trailer Dealers, RV Rental, Used Car Dealers, Car Dealers, Hotels & Travel","{'Monday': '9:0-17:0', 'Tuesday': '9:0-17:0', 'Wednesday': '9:0-17:0', 'Thursday': '9:0-17:0', 'Friday': '9:0-17:0', 'Saturday': '9:0-17:0', 'Sunday': '10:0-16:0'}"
31599,H_ntB9U0wBCf48X53UnFOg,Quality Inn & Conference Center,2701 E Fowler Ave,Tampa,CA,33612,28.0539875,-82.4290297,2.0,102,1,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'""}","Event Planning & Services, Hotels, Hotels & Travel","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
31641,bL1qAhdZX9a2-jbg10ccBg,Edith Palmer's Country Inn,416 S B St,Virginia City,CA,89440,39.305300945,-119.6522932622,4.5,14,1,"{'RestaurantsPriceRange2': '2', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True'}","Bed & Breakfast, Event Planning & Services, Hotels & Travel, Restaurants, Hotels",
32468,zfGDoYNklqZeaS2nYZpmOw,Philly Foodies Tours,,Philadelphia,CA,19125,39.9793657,-75.1253492,4.5,6,0,"{'ByAppointmentOnly': 'True', 'WiFi': ""u'no'""}","Tours, Walking Tours, Food Tours, Historical Tours, Hotels & Travel","{'Monday': '0:0-0:0', 'Thursday': '16:0-18:0', 'Friday': '12:30-15:0', 'Saturday': '15:30-17:30', 'Sunday': '12:30-15:0'}"
32509,8DdYtA9Q85UGNRa3Ph0y9w,C Ponies Beach Horseback Rides,Interstate 275,St Petersburg,CA,33716,27.6552851573,-82.6752600074,5.0,6,1,"{'BusinessParking': ""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'True', 'WheelchairAccessible': 'False', 'ByAppointmentOnly': 'True', 'BikeParking': 'True', 'DogsAllowed': 'False'}","Active Life, Party Equipment Rentals, Beaches, Horseback Riding, Surfing, Event Planning & Services, Hotels & Travel, Vacation Rentals","{'Monday': '8:0-16:0', 'Tuesday': '8:0-16:0', 'Wednesday': '8:0-16:0', 'Thursday': '8:0-16:0', 'Friday': '8:0-16:0'}"
32954,WVK43TKUTEHjIVlF25cYLw,SpringHill Suites Marriott Nashville Downtown/Convention Center,410 Rep. John Lewis Way S,Nashville,CA,37203,36.1559429,-86.7752176,3.5,5,1,"{'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False', 'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'free'""}","Venues & Event Spaces, Hotels & Travel, Event Planning & Services, Hotels","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
33608,EX9q3_XxAcvUwpOuD9nkTw,Nashville RV,4242 Long Ln,Franklin,CA,37064,35.864139,-86.830277,3.0,8,1,"{'BusinessAcceptsCreditCards': 'True', 'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False'}","RV Rental, RV Dealers, Hotels & Travel, Automotive, RV Repair","{'Monday': '8:0-17:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0'}"
35264,lWHsWAszNVISPFB3gQTuyg,Hampton Inn Limerick-Philadelphia Area,430 W Linfield Trappe Rd,Limerick,CA,19468,40.218107,-75.541022,2.5,21,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '2'}","Hotels, Hotels & Travel, Event Planning & Services","{'Monday': '0:0-0:0', 'Tuesday': '0:0-0:0', 'Wednesday': '0:0-0:0', 'Thursday': '0:0-0:0', 'Friday': '0:0-0:0', 'Saturday': '0:0-0:0', 'Sunday': '0:0-0:0'}"
36745,WH_DZNs-vB0sx3K5-WOvDg,Free Beach Ride,4801 Gulf Blvd,Saint Pete Beach,CA,33706,27.7233519,-82.7399189,3.0,18,1,"{'WiFi': ""u'no'"", 'ByAppointmentOnly': 'False', 'Smoking': ""'no'""}","Advertising, Professional Services, Hotels & Travel, Transportation, Public Transportation","{'Monday': '8:0-3:0', 'Tuesday': '8:0-3:0', 'Wednesday': '8:0-3:0', 'Thursday': '8:0-3:0', 'Friday': '8:0-3:0', 'Saturday': '8:0-3:0', 'Sunday': '8:0-3:0'}"
37933,KLPdrKh6CZHslbZ-0ZKVdQ,Coast to Coast Auto Transport,2440 N Locust Grove Rd,Kuna,CA,83634,43.5107491875,-116.3729774,4.0,34,1,"{'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'ByAppointmentOnly': 'False'}","Automotive, Hotels & Travel, Vehicle Shipping, Transportation, Motorcycle Dealers","{'Monday': '0:0-0:0', 'Tuesday': '8:0-17:0', 'Wednesday': '8:0-17:0', 'Thursday': '8:0-17:0', 'Friday': '8:0-17:0', 'Saturday': '8:0-17:0'}"
40671,APJmC1vBW39h3NToBdhdig,Dinner Time Stories,167 Rosa L Parks Blvd,Nashville,CA,37203,36.1605824,-86.7838543,5.0,7,0,"{'RestaurantsDelivery': 'False', 'RestaurantsReservations': 'True', 'WheelchairAccessible': 'True', 'HasTV': 'False', 'RestaurantsGoodForGroups': 'True', 'HappyHour': 'False', 'Alcohol': ""u'full_bar'"", 'DogsAllowed': 'False', 'BusinessParking': ""{'garage': True, 'street': True, 'validated': False, 'lot': False, 'valet': True}"", 'OutdoorSeating': 'False', 'RestaurantsTakeOut': 'False', 'RestaurantsTableService': 'True', 'RestaurantsPriceRange2': '4', 'WiFi': ""u'free'"", 'BusinessAcceptsCreditCards': 'True', 'GoodForKids': 'False'}","Restaurants, Tours, Dinner Theater, Nightlife, Arts & Entertainment, Food Tours, Hotels & Travel, Modern European, American (New)","{'Thursday': '18:0-20:0', 'Friday': '18:0-20:0', 'Saturday': '18:0-20:0', 'Sunday': '18:0-20:0'}"
44068,y2lhuDD8bsAtp3NnMDQY9Q,Prima Motel & Lounge,502 Ringold St,Phoenixville,CA,19460,40.127853,-75.52886,2.5,6,0,"{'BusinessAcceptsCreditCards': 'True', 'RestaurantsPriceRange2': '1', 'WiFi': ""u'no'""}","Event Planning & Services, Hotels & Travel, Hotels",
