,Unnamed: 0.1,Unnamed: 0,user_id,business_id,text,date,compliment_count,feeling
89,89,95005,RslibXJDcpagv4Z54BOTnQ,1KLs3yA1gIq0Jek-iyPXlA,"We caught several Pokemon, had a great breakfast, kids enjoyed the tiny inside pool, queen beds comfy (pull out was rough - easier for smaller kids).",2016-07-20 16:21:39,0,Positive
90,90,95785,AlItSF8o1WkCZfFcv-iK-w,2dPiEMXII3wF4uNCeWDEpg,"Warning: there's no hotel bar, and the restaurant is not open because it's Thanksgiving night. Danger, Will Robinson.",2012-11-23 03:11:48,0,Neutral
91,91,96784,nT-sNbcZDDo_9cWBPQSMQA,KxxHb9EaLFuk9qy_BAAOcQ,Breakfast buffet til 9 m-f; till 10 s/s,2013-12-07 16:37:47,0,Neutral
92,92,98584,aJhKW-YPN7hjI4QNMgxfvQ,1aj1hnqPt3rqoB8tVRHLEA,Tales of the Cocktail headquarters!,2010-07-20 21:48:43,0,Neutral
93,93,98625,-y4O_E79Z6QwEI1p4OU_0w,oVr68YLI0PMSkEc_SHMkFA,Property appears very old but well kept,2013-06-01 15:07:22,0,Positive
94,94,99673,TqzW_U3nZcgOTFZzgSXpxQ,o9Gru-QFoxGK26FSWRCLXA,Nicest shuttle driver ever; Cheryl! She is so friendly/always offers to help with your luggage. People should tip this lady! She might weigh a buck twenty five and is lifting luggage heavier!,2015-03-12 19:02:39,0,Positive
95,95,101032,J06FSIiBAYknk9N1J_hjRA,2dPiEMXII3wF4uNCeWDEpg,An event w/ 500 guests. They didn't have even 1 vegetarian meal. The chef did not anticipate & couldn't do something?! Staff was rude too!,2012-02-11 19:19:00,0,Negative
96,96,103493,h8l7bu1MW6V6I3KOaLbMzw,oVr68YLI0PMSkEc_SHMkFA,Ugly building. Lovely inside. Professional staff. Easy coach staging.,2010-09-18 12:21:28,0,Positive
97,97,103959,zkTqDt3Ja-mPNdnxllasyQ,yi9udL5fcmBjwcBcygv51Q,Me Time!,2012-07-15 19:55:38,0,Neutral
98,98,104631,d4vqfqDzNFvYppXMPjJrow,hXENwSCtd8pdBrnN8XkXyA,If rather be checking out - no internet!,2014-02-26 12:42:51,0,Neutral
99,99,106320,OINYv6r1OMFK9wbDpno9AQ,LnN94-sJc8U6shh_i0oclw,No bathroom on the train go before you get on.,2013-07-20 15:00:35,0,Neutral
100,100,106341,P1W5wHWzQXLQnHuOGKspLg,6RmCKos_1EmLtg4oQXR9hw,Volleyball tournament.,2012-03-03 20:32:15,0,Neutral
101,101,108027,DQLIeWYj1YVQbxGDzw9Scw,oVr68YLI0PMSkEc_SHMkFA,The lobby bar is a lovely choice on a rainy night...,2012-03-18 01:18:24,0,Positive
102,102,108116,aHl-3UItyhhS9P40Nr9EaA,2o4GOsWEmcdwjgqnEw0w9A,"You can find a good range of campgrounds on the mountain, not just Rose Canyon, Spencer and Peppersauce.",2014-07-29 05:54:48,0,Positive
103,103,108556,jlpapIPWURjBUg3V31AjKw,o9Gru-QFoxGK26FSWRCLXA,Almost like having your own car in every city you visit just waiting where you parked it ...if you go emerald!,2012-02-21 04:16:02,0,Positive
104,104,110147,08mOpJRCpZe3D8UHszP4FA,1aj1hnqPt3rqoB8tVRHLEA,Self check out: carousel bar for cocktails in NO,2016-09-06 16:20:20,0,Neutral
105,105,110877,ILbTN47MEUvnEaPA_OlFvQ,k1EL0UvRYao_La9zdeUfJw,Love the 1pm checkout!,2015-07-18 18:22:19,0,Positive
106,106,117931,qgrRS9CS8XY-NmoktttIvg,1aj1hnqPt3rqoB8tVRHLEA,The anniversary staycation has begun! Carousel bar tonight!,2012-06-26 21:02:17,0,Neutral
107,107,118831,1zG4q1xZuZkN6Szs-XwwhA,bKtYoWxtlHaqP6KN65HWcA,Ready to win 300$,2012-08-25 02:58:43,0,Positive
108,108,119362,8yMYezT_Rik9E6M7L2Vy4w,p6H295aQCbDJ80GcpqFvwA,"Super comfortable bed, TV has great picture & super good sound! Buy a Philly Phlash Bus day pass online for only $5 and print your passes at one of the computer's guests are free to use!",2015-07-20 23:31:58,0,Positive
109,109,120021,we1B8k-omNG0fmeYgVyGeg,-12_gQ7NRcMWSRs97mRQdw,Only book here if everywhere else is full,2017-02-15 04:33:26,0,Positive
110,110,120077,ILxJf8KeiDgvSMxipZ1MLw,1aj1hnqPt3rqoB8tVRHLEA,Best..best..place to grab a drink. Coolest bar in town,2012-10-26 13:40:31,0,Neutral
111,111,120675,vlu3tkXF9uMgzyWgHnS0sg,QBiNLoutKIgS6lzGks-50A,Very friendly staff,2013-11-11 03:38:12,0,Positive
112,112,120863,TVN3qoXU0-sateboutdCZg,yICkcFt6NJGHqTXs24esKg,King size bed room fits one person. Two people is too many since the rooms are a NYC kind of small,2013-07-29 02:41:41,0,Positive
113,113,122448,XHRUh1t8fAFx8Ik_3Kx1WQ,6RmCKos_1EmLtg4oQXR9hw,Use the parking lot in the back.  A lot easier to find a good spot.,2017-09-18 00:21:10,0,Positive
114,114,122478,aJhKW-YPN7hjI4QNMgxfvQ,1aj1hnqPt3rqoB8tVRHLEA,Good Morning! Another glorious day of Tales of the Cocktail move-in!,2012-07-20 11:36:50,0,Positive
115,115,122875,__QLyY_W06q10ZfBQg7Dcg,ZL0Iyn8hlTHDz70-IPFBAQ,Come see Patience - tell her Anna from Tampa sent you!,2014-10-10 17:13:06,0,Neutral
116,116,123153,DwaaafwryFbW7C4E1gU1AA,sBcKVeZEHiG9JAxCiGvd2g,Living social is offering the tickets for $15 still being offered,2015-03-13 06:18:04,1,Positive
117,117,123361,wVE0ZKUNn4vsoIyMVhUtLg,rhqyJ9sN-lb2JblkVFe13A,Make sure your not in a big rush when your here.,2014-04-24 20:44:02,0,Positive
118,118,127639,enrYa7Ehm4lur50yzosxAA,DlU5bGy4imZ5JzZYoQkdSg,Justin and Matt were great! Very professional and did a wonderful job. Thanks guy!,2016-07-16 16:50:16,0,Positive
119,119,129273,d4vqfqDzNFvYppXMPjJrow,hXENwSCtd8pdBrnN8XkXyA,No charge for the internet - all charges were removed,2014-02-28 12:59:40,0,Neutral
120,120,129763,DeZ_FlVfFEVtjokeW1TNPw,nhIffYn3kMRlHeClz0az1g,"Enough with the excessive use of the train horns, who rides the trains anyway?!? Get rid of them, or have them be quiet!!!",2013-11-19 06:17:34,0,Negative
121,121,130579,M0ed_sh-wJlbnVQXx-fQ_A,71cUrGn9enOIIiPtwqp82w,This company sucks.,2014-03-06 02:34:00,0,Negative
122,122,131415,5iLTCZo9-YJgdwvk7iM84Q,uQWhejZCTCeJheRXOAU8ig,It's a sunny day why not  take advantage and play golf!!!,2015-01-19 19:21:50,0,Neutral
123,123,134366,VSbuk0JkevdOuHiIM7Fkzw,tH10ZuH28GrccqTZ6TTl7A,Get here early.,2011-08-14 17:07:07,0,Positive
124,124,135163,ENSYT8atZM8gus_xXDzzJQ,ZL0Iyn8hlTHDz70-IPFBAQ,Modern to the hilt!,2012-05-13 22:40:56,0,Positive
125,125,136209,jBL3W-Pb771R0CcZgmwySg,QGTvT3wucl1UKZgxTRGStQ,I love this place and I'm local. I stay here every few months when I have too many guests and need a break,2014-09-18 00:40:38,0,Positive
126,126,137421,zkTqDt3Ja-mPNdnxllasyQ,yi9udL5fcmBjwcBcygv51Q,Birthday Beat!,2011-12-16 21:26:55,0,Neutral
127,127,139693,DeDvAzbCIPaXQlor2LctVA,UjOq8dBVNv9weHrVDqm3kQ,Beautiful rooms and views!,2011-05-07 04:07:29,0,Positive
128,128,141717,xf-QhGEDCSRlNtQxLNL_qA,1aj1hnqPt3rqoB8tVRHLEA,Great location in the French  quarter and very good service,2011-09-11 12:57:29,0,Positive
129,129,141982,c6eOjVd8ODoUG9dGqcP8-w,UAFrK91Wd3YLBJg8Hfxj1Q,If you're looking for a hooker near Fenton come here.,2015-03-26 18:39:16,0,Positive
130,130,143710,zkTqDt3Ja-mPNdnxllasyQ,yi9udL5fcmBjwcBcygv51Q,Fulfilling Elle's bday wishes!!!,2011-12-15 00:31:59,0,Neutral
131,131,143833,fHS0bQ-l5rHME_xXKQSYXQ,1aj1hnqPt3rqoB8tVRHLEA,Tales of the Cocktail July 25-29,2012-07-26 16:15:12,0,Neutral
132,132,145352,uQOMhO2-70PXChcIq-fN3w,-rpI6XyHt76wV5g-mgibTg,Stay away...this place is a dump! I would happily pay an extra hundred dollars a night for some peace of mind.,2013-07-04 09:49:13,0,Positive
133,133,146722,xnObMamBlKCMmzsVq9mMlQ,1aj1hnqPt3rqoB8tVRHLEA,No way is this a 4 star hotel!,2012-01-29 01:01:40,0,Neutral
134,134,146991,nXMMoDzXRByQiWH9cf-FAQ,p6H295aQCbDJ80GcpqFvwA,Free snacks and drinks in the lobby area.,2017-04-14 15:17:58,0,Positive
135,135,147841,x1eoFKYmF5rphLVmCqssiA,DlU5bGy4imZ5JzZYoQkdSg,"Prompt, efficient, respectful of both my things and me!",2016-09-28 17:50:55,0,Positive
136,136,151437,V2zP4qBUKkr2Mi73J3Ty5A,Mb967pEMu4d1iimJhkdtWg,"The wreath and Christmas tree display is definitely worth a trip. During The Way of Lights event, every Tuesday evening is Family Night!",2012-12-19 01:47:07,0,Positive
137,137,152786,yMYf38x9LAWZIiJOzZoTKw,qeJ7HUUo-Cg75fxDV2dDbA,"Flight is NEVER on time and you will never be told when the flight will take off. It will be a surprise. If you like sitting at the airport for hours, sometimes, days, then by all means fly Allegiant!  Also, the airline is always sneaky and secretive about delays they know will come. Whereas with delta and all other major airlines, you are notified of delays by checking the website bf you leave for the airport.",2013-10-24 12:27:51,0,Positive
138,138,152864,ccHzPfXNuczHUnE50xorTA,yi9udL5fcmBjwcBcygv51Q,Food court is the absolute worst.,2013-07-05 19:19:06,0,Negative
139,139,153949,aJhKW-YPN7hjI4QNMgxfvQ,1aj1hnqPt3rqoB8tVRHLEA,Michael Glassberg is behind the stick Tonight!,2012-06-09 02:50:20,0,Negative
140,140,154373,A3PC4ZmfH20fXeQcxNiVQw,yICkcFt6NJGHqTXs24esKg,"Awesome views, tastefully decorated and clean rooms, but the walls are paper thin!",2010-06-22 12:47:41,0,Positive
141,141,154846,178lUNiULUgxi8fdm1zXmA,uwPw6d4WCX46fVizFmFSnA,Apartment buildings are barely in order by number so you might be driving around for a little while to find where ur going if ur visiting,2012-03-21 23:13:04,0,Negative
142,142,156350,V_lub39LKTKzGLS_asvSeg,1aj1hnqPt3rqoB8tVRHLEA,Nice room..,2014-01-04 13:52:00,0,Positive
143,143,156633,Lelqm9NlwVuWbJsqkigDhg,VO368SHTB5QnlLocvU1LEQ,"Valet parking is a bargain, especially in the winter!",2013-01-07 19:21:10,0,Neutral
