name,address,latitude,longitude,category,gmap_id,description,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
Vendome Hotel,"Vendome Hotel, 415 2nd Ave, San Mateo, CA 94401",37.5673803,-122.3219701,Hotel,0x808f9e7a084f7291:0x5511d579cbdb549f,,2.5,4,,,{},,"['0x808f9dda62865e51:0x453c0e40b6c296c1', '0x808f9dd0a4167e7f:0xd1242573a0a15bf5', '0x808f9ef215a3c707:0xe6ecedc27fd6f6b6', '0x808fa240c510a027:0x7962a2c1158f14ee', '0x808f915f69bb236b:0x2e63c13ca28ef784']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f9e7a084f7291:0x5511d579cbdb549f?authuser=-1&hl=en&gl=us
Sonder - The Townsman,"Sonder - The Townsman, 706 Polk St, San Francisco, CA 94109",37.78338,-122.41904,Hotel,0x80858097308a8b67:0x18c3ab00dee1ee2b,,4.0,7,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80858097308a8b67:0x18c3ab00dee1ee2b?authuser=-1&hl=en&gl=us
West End Hotel,"West End Hotel, 3927 Van Buren Pl, Culver City, CA 90232",34.0231143,-118.3934467,Hotel,0x80c2ba29d31d39b3:0xdf1a635e9ad10bf7,,4.2,5,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2ba29d31d39b3:0xdf1a635e9ad10bf7?authuser=-1&hl=en&gl=us
Ramada Anaheim Disneyland,"Ramada Anaheim Disneyland, 2141 S Harbor Blvd, Anaheim, CA 92802",33.7946245,-117.9160667,Hotel,0x80dcd7e67ff00001:0x4e0c9325b916f0ec,,2.5,4,,,{},,"['0x80dcd62d3abbe927:0x919a68f2b821accc', '0x80dcd62b3434c4b1:0x4ee319f1b1bc74d1', '0x80dcd7c3f0de5feb:0x90bbf6554933781f', '0x80dd296a3975c493:0xc1ea5840661d71e4']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd7e67ff00001:0x4e0c9325b916f0ec?authuser=-1&hl=en&gl=us
Rio Palace Motor Inn,"Rio Palace Motor Inn, 10424 S Broadway, Los Angeles, CA 90003",33.941136199999995,-118.2779161,"Motel, Hotel",0x80c2c9f49cf71e55:0x2d34222942dfa9d9,"Understated roadside motel featuring complimentary Wi-Fi & parking, plus down-to-earth rooms.",3.7,48,,,{},,"['0x80c2c9f376dc3ab9:0xafb1e805e84282ce', '0x80c2c9ea9e02d5df:0xd57d058d3487f54c', '0x80c2c9f5013c8a15:0xafe227d5d4a68ff6', '0x80c2ca27dbbef2d5:0x8a8f2128695230d7']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2c9f49cf71e55:0x2d34222942dfa9d9?authuser=-1&hl=en&gl=us
Catalina Boathouse,"Catalina Boathouse, 200 Marilla Ave, Avalon, CA 90704",33.344835,-118.3287637,Hotel,0x80dd729e8d2a292f:0xee60c0dd4f2c9aa7,Down-to-earth rooms & suites with harbor views in a modest hotel with communal patios & BBQs.,3.9,8,,,{},,"['0x80dd729ebc74bdcf:0xa922c251bf74bdb9', '0x80dd729c27661ff7:0xcb5740d1f68810f7', '0x80dd7298dd6170fd:0xbd4840abec3f8822', '0x80dd729bfdb15057:0xea4b88d0a7c8140b', '0x80dd729955f165ab:0x44abe8ba74c768df']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dd729e8d2a292f:0xee60c0dd4f2c9aa7?authuser=-1&hl=en&gl=us
Auberge Resorts Collection,"Auberge Resorts Collection, 33 Reed Blvd, Mill Valley, CA 94941",37.9006338,-122.5143924,"Resort hotel, Corporate office, Hotel",0x808585495e17fb17:0x1bfbaae122af3068,,4.0,4,,,{},,"['0x80858425a47e728b:0xe0b8aa1afc4184c5', '0x80859a42dca7a30f:0xb61731738524f13', '0x8085aea849f34fd9:0xf6f3b0715871c135', '0x8085906d70c7baf1:0xc27a0e8250cfe4a0']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808585495e17fb17:0x1bfbaae122af3068?authuser=-1&hl=en&gl=us
Thrifty Lodge Motel,"Thrifty Lodge Motel, 017108410, Redlands, CA 92373",34.0572419,-117.1769243,Hotel,0x80dcab6251c95191:0xb438eee95aae06a,,4.4,5,,,{},,"['0x80dcaa0bb4497533:0x5c4f23e3d7a413b3', '0x80dcaa737ee653b7:0x8115f67291757ed4', '0x80dcaa447b1f6625:0xe9ea139e51971e3', '0x80dcaa5a126b4465:0x1dc127adba9cc649', '0x80dcaa50631cc20f:0xc3a5073653ca794b']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcab6251c95191:0xb438eee95aae06a?authuser=-1&hl=en&gl=us
Inns of the Corps Mountain View,"Inns of the Corps Mountain View, Twentynine Palms, CA 92277",34.2161293,-116.0457229,Hotel,0x80dac7699b7c3bfd:0x3817b5269d796cd5,,4.6,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dac7699b7c3bfd:0x3817b5269d796cd5?authuser=-1&hl=en&gl=us
Holiday Inn Express by IHG,"Holiday Inn Express by IHG, 21340 Devonshire St, Chatsworth, CA 91311",34.2570799,-118.596438,Hotel,0x80c29d92d2ee7be3:0x83470e9ebf3df73e,"Unpretentious property featuring simply furnished quarters, plus Wi-Fi & parking.",3.7,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c29d92d2ee7be3:0x83470e9ebf3df73e?authuser=-1&hl=en&gl=us
Towneplace Marriott,"Towneplace Marriott, 10336 Richardson St, Loma Linda, CA 92354",34.0654901,-117.2536364,Hotel,0x80dcab77a87703d7:0x29bde49a5a31673b,,5.0,2,,,{},,"['0x80dcab7dc9b78989:0xb51dd543f646fd8d', '0x80dcab7d5dd4efeb:0x1271e2f9a208daa4', '0x80dcad0b93773307:0x3368c1aaca55833a', '0x80dcab77de562f81:0xf71c792e2fb68106', '0x80dcac8fb487ed67:0x765df669fdd74460']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcab77a87703d7:0x29bde49a5a31673b?authuser=-1&hl=en&gl=us
Pescadero's Historic McCormick House Inn,"Pescadero's Historic McCormick House Inn, 358 Stage Rd, Pescadero, CA 94060",37.254353,-122.3824507,"Hotel, Indoor lodging, Inn, Motel",0x808f0736ddae60f1:0x116dbb485d644d2e,Quaint guesthouse in a 1860s house with a terrace & 2 cozy rooms with tea & coffeemaking facilities.,4.6,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f0736ddae60f1:0x116dbb485d644d2e?authuser=-1&hl=en&gl=us
Palo Alto Hotel,"Palo Alto Hotel, 1685 Sacramento St, San Francisco, CA 94109",37.7913803,-122.4206347,Hotel,0x808580eb2561d4f7:0xd4d85983eb96a80e,,3.4,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808580eb2561d4f7:0xd4d85983eb96a80e?authuser=-1&hl=en&gl=us
Buena vista Farm,"Buena vista Farm, 5346-5000 Buena Vista Dr, Paso Robles, CA 93446",35.673851,-120.6545769,Hotel,0x80eccf4dbf6a8843:0x3dcfd692300ca8e7,,3.7,3,,,{},,"['0x80eccf86b18ce08b:0xb17fd7eec552c8f1', '0x80ecdba31e7e0891:0x60c35466098d1685', '0x80eccfebed1f26ff:0x7c6b7f69d2deb3d3', '0x80ecdab57e9b2781:0x8f97f63332ad4083', '0x80ecc55c07ae9681:0x3e64a869991e646d']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80eccf4dbf6a8843:0x3dcfd692300ca8e7?authuser=-1&hl=en&gl=us
Hill Top Motel,"Hill Top Motel, 1531111100, Oceanside, CA 92054",33.1779577,-117.3647426,Hotel,0x80dc6f544e4ef43f:0xd979d6d83b81d3a0,,4.1,8,,,{},,"['0x80dc71fd89b8dde9:0xa74a552f20e18865', '0x80dc6e35612fa2f9:0x56695441be0fba8a', '0x80dc6e361cffc223:0x3642617625f390e', '0x80dc6e354f8098f7:0xcd214822eae4362d', '0x80dc6fb5c28bd6ff:0xdabe17158ec35f72']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc6f544e4ef43f:0xd979d6d83b81d3a0?authuser=-1&hl=en&gl=us
Point Reyes Schoolhouse Lodging,"Point Reyes Schoolhouse Lodging, 11559 CA-1, Point Reyes Station, CA 94956",38.0717692,-122.8034976,"Hotel, Cottage, Lodge",0x8085c67e195a9a51:0x7371f938e8003a86,"Cozily converted schoolhouse, barn, cottage & covered wagon in gardens with a pond & a patio.",4.1,8,,,{},,"['0x8085c6b593b9f797:0xf30e6bb953281522', '0x8085c6caa53660b3:0x5894d9decd1b5fea', '0x8085c6801239496f:0x2117f92bdf59e556', '0x8085c58fe177f6e7:0x5b8980455a4cf8da', '0x8085cfbdcf13fb2f:0xa90f91bc24a359a8']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8085c67e195a9a51:0x7371f938e8003a86?authuser=-1&hl=en&gl=us
Luxury Vacation Home luxevaca,"Luxury Vacation Home luxevaca, 1889 Bella Coola Dr, South Lake Tahoe, CA 96150",38.8557377,-120.0045855,Hotel,0x80998dc4cb2a0337:0x342dd0913031ee86,,4.8,5,,,{},,"['0x8099900ea9316813:0xf0c1218b788952c4', '0x80999077cd58ce05:0xc56c3496f8b2e051']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80998dc4cb2a0337:0x342dd0913031ee86?authuser=-1&hl=en&gl=us
Camp Pendleton Billeting,"Camp Pendleton Billeting, Oceanside, CA 92058",33.2144365,-117.3949835,Hotel,0x80dc6fbae21461e5:0x56e4a34c13f151f4,,4.5,4,,,{},,"['0x80dc7aff7c5e17af:0x3ef2209b2b9650fc', '0x80dc7b01fb8045ab:0x1c1fedea2b9c7b9f', '0x80dc6f1ca94dcc87:0x3bfd2346e5ab4f93', '0x80dc7185d1c26d67:0x82f3278327502970', '0x80dc6e350cfb84b3:0x25b9249f9fd4a20']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc6fbae21461e5:0x56e4a34c13f151f4?authuser=-1&hl=en&gl=us
Grand Pacific Hotel,"Grand Pacific Hotel, 1331 Stockton St, San Francisco, CA 94133",37.7980138,-122.4088463,Hotel,0x808580f3c0b5954d:0x4b9089fbe1018743,,5.0,1,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808580f3c0b5954d:0x4b9089fbe1018743?authuser=-1&hl=en&gl=us
Star Hotel,"Star Hotel, 22 S Main St, Lodi, CA 95240",38.1332411,-121.2705832,Hotel,0x809aa01973d8b303:0x274a9fb79d71bab4,,2.8,26,,,{},,"['0x809aa17b4bf312bd:0xc89a4f87f5df6aad', '0x809aa0196d4261db:0x4e9dff3e59a32a66', '0x809a9f8a9712daa7:0xefc08e91a028c6df', '0x809aa019ea754ae1:0xfc9ebe04fa19d59e', '0x809aa01805078fcd:0x3614e05cc833a5cd']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x809aa01973d8b303:0x274a9fb79d71bab4?authuser=-1&hl=en&gl=us
Knights Inn Fresno,"Knights Inn Fresno, 4061 N Blackstone Ave, Fresno, CA 93726",36.7917475,-119.7925882,"Hotel, Motel",0x8094677ef8ae34c9:0x8af1b0f41fd35319,"Simple budget hotel offering low-key rooms with microwaves & minifridges, plus an outdoor pool.",2.2,66,,,{},,"['0x8094677faef57023:0xdaafb5a1a94a1839', '0x8094677fb48ef0a9:0x1ccd40a4cb1b8af1', '0x809467800f59df8d:0xdbf527d748a7d707', '0x80946725c0c852ed:0xee5f959fe1512723']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x8094677ef8ae34c9:0x8af1b0f41fd35319?authuser=-1&hl=en&gl=us
Bluewater Seaside One,"Bluewater Seaside One, 6767 Neptune Pl, La Jolla, CA 92037",32.8292643,-117.2801492,Hotel,0x80dc038e5b6e29b3:0x69e045871faed677,,3.0,2,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dc038e5b6e29b3:0x69e045871faed677?authuser=-1&hl=en&gl=us
The Ablitt House,"The Ablitt House, 15-1 W Haley St, Santa Barbara, CA 93101",34.4160979,-119.6955184,Hotel,0x80e91388caadb625:0x588b3ac5494b3da,,5.0,3,,,{},,"['0x80e91387ddab1ddf:0xe256187a27b4dde3', '0x80e913bddc960b47:0x38b2cf88bf8fa8cd', '0x80e91488ce6d2baf:0x66b41a4b502f6b26', '0x80e914780bd62103:0x7082f74ba97c2c23', '0x80e91475c2d92861:0xcc2dc03a63d4d97a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80e91388caadb625:0x588b3ac5494b3da?authuser=-1&hl=en&gl=us
Friends Lodge,"Friends Lodge, 2586 Van Campen Way, Wawona, CA 95389",37.5469631,-119.636177,"Vacation home rental agency, Cabin rental agency, Holiday home, Hotel",0x809691b1f17f78f3:0x435ef5ffc31b75a9,,4.8,8,,,{'Health & safety': ['Appointment required']},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809691b1f17f78f3:0x435ef5ffc31b75a9?authuser=-1&hl=en&gl=us
Mitchell Hotel,"Mitchell Hotel, 2321 International Blvd, Oakland, CA 94601",37.7830461,-122.2355892,Hotel,0x808f86e5b564bed9:0xedbcd284f90a72a5,,2.5,6,,,{},,"['0x808f80b715d50f07:0xcaabb7b3e709951d', '0x808f80a86f3caad3:0x7e63f8cefa0344bd', '0x808f8617d1021aa3:0x7876dcceaf2e516e']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808f86e5b564bed9:0xedbcd284f90a72a5?authuser=-1&hl=en&gl=us
Motel 6 Dyer Santa Ana Ca,"Motel 6 Dyer Santa Ana Ca, 213 S Birch St, Santa Ana, CA 92701",33.7438611,-117.8707528,Hotel,0x80dcd904203c730d:0xaca608cbd6f9b588,,3.7,13,,,{},,"['0x80dcd9c8115072dd:0x87a0f5ed36864f6f', '0x80dcd87457a0d83d:0xf481b1625d21aadd', '0x80dcd8413515f943:0xaf72d92dd62adacc', '0x80dcd97186429a7d:0xb02853a7429a49cc', '0x80dcd876dafcd363:0xf041653a88072080']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd904203c730d:0xaca608cbd6f9b588?authuser=-1&hl=en&gl=us
Dorado Inn,"Dorado Inn, 4379 CA-147, Westwood, CA 96137",40.2252968,-121.0757981,"Resort hotel, Hotel",0x809d0df44f33fe4b:0x37c76db8afd7e0cc,,4.2,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x809d0df44f33fe4b:0x37c76db8afd7e0cc?authuser=-1&hl=en&gl=us
Hotel Vinea — Healdsburg,"Hotel Vinea — Healdsburg, 178 Dry Creek Rd, Healdsburg, CA 95448",38.6260093,-122.8755582,Hotel,0x808411e53e868303:0x74eb46cc1181ca5,,2.0,1,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808411e53e868303:0x74eb46cc1181ca5?authuser=-1&hl=en&gl=us
Stone Mountain Lodge,"Stone Mountain Lodge, 25550 Cedar Glen Dr, Idyllwild-Pine Cove, CA 92549",33.7509826,-116.7247014,Hotel,0x80db121520ef3407:0xa5ce5a683c32a827,,5.0,2,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db121520ef3407:0xa5ce5a683c32a827?authuser=-1&hl=en&gl=us
5555 Cedar Court Hotel,"5555 Cedar Court Hotel, 5555 Cedar Ct, Newark, CA 94560",37.5311769,-122.0063153,Hotel,0x808fbfb976815bc9:0x474c80cf926d4148,,3.2,28,,,{},,"['0x808fbf43656b3c3b:0x274a14de89c0f60b', '0x808fbf45b815826f:0x352275364d2d0184', '0x808fbf5195bcadc7:0x29e96417011d6868', '0x808fbf5c73c47b39:0x12986d11d7bd7315', '0x808fbe8a83cf76bb:0xe3ce5fab67eecdbe']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fbfb976815bc9:0x474c80cf926d4148?authuser=-1&hl=en&gl=us
Hilton,"Hilton, 7050 Johnson Dr, Pleasanton, CA 94588",37.7000655,-121.9181102,Hotel,0x808fec0ed02432e5:0x14a6ace215c8a07b,"Laid-back rooms in unassuming hotel with a restaurant, an outdoor pool & a fitness center.",4.3,6,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808fec0ed02432e5:0x14a6ace215c8a07b?authuser=-1&hl=en&gl=us
Palm Motel,"Palm Motel, 38535 6th St E, Palmdale, CA 93550",34.5826762,-118.1190717,"Motel, Hotel",0x80c2582ec4877969:0x35cfb5033435968,,3.1,38,,,{},,"['0x80c2578eee142033:0xe29265b487e5639a', '0x80c25a6cb38effa7:0xef11d47d8de2adf0', '0x80c25a61cdf859fb:0x879258b9ce492a27', '0x80c2582c42467343:0xbe3fc32c82e7dd2e']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2582ec4877969:0x35cfb5033435968?authuser=-1&hl=en&gl=us
Havasu Landing Resort,"Havasu Landing Resort, 1 Main St, Havasu Lake, CA 92363",34.4901385,-114.4046353,Hotel,0x80d1ec3df7c7a68f:0xb43cf96a7df0b615,,3.0,1,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80d1ec3df7c7a68f:0xb43cf96a7df0b615?authuser=-1&hl=en&gl=us
Rio Inn Motel,"Rio Inn Motel, 301 N Mt Vernon Ave, Colton, CA 92324",34.0669713,-117.3144285,"Motel, Hotel",0x80dcace02c016979:0x6803b5742ee97282,,3.4,8,,,{},,"['0x80dcace16aed5107:0xe43ae5f697cd50dd', '0x80dcace1373e2a0d:0xe4c685af03f01030', '0x80dcacd60e2c5019:0xd47ac49a65310409', '0x80dcace0da2b6785:0x2fb80860ed58c9a5', '0x80dcacc69566f02b:0xdb551131f7aa8d3c']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcace02c016979:0x6803b5742ee97282?authuser=-1&hl=en&gl=us
Fairway One at The Lodge,"Fairway One at The Lodge, 1700 17 Mile Dr, Pebble Beach, CA 93953",36.5696202,-121.9497858,Hotel,0x808de7696de8bbe9:0x28ec80bc8c566f8,Polished rooms with fireplaces & 4-bedroom cottages offering fairway &/or ocean views.,4.9,7,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x808de7696de8bbe9:0x28ec80bc8c566f8?authuser=-1&hl=en&gl=us
Anaheim Jolly Roger Hotel,"Anaheim Jolly Roger Hotel, 640 W Katella Ave, Anaheim, CA 92802",33.8030256,-117.9171549,Hotel,0x80dcd7dc50270acb:0x2d2f9eed7b18d0b0,"Colorful, simple rooms in a budget hotel, plus a shuttle to the Disneyland parks.",3.1,8,,,{},,"['0x80dcd7dae0047c85:0xa86789c176bb072', '0x80dcd7d07051217d:0xc420b174937c46cf', '0x80dcd7dddcf58695:0xb22b24c611781348', '0x80dcd7db404aa455:0x2536e69bd6c28797', '0x80dcd7e7cacf3d73:0xcd6cb4806616b72']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80dcd7dc50270acb:0x2d2f9eed7b18d0b0?authuser=-1&hl=en&gl=us
S Cal Corporate Housing,"S Cal Corporate Housing, 415 Herondo St, Hermosa Beach, CA 90254",33.853572,-118.3949859,Hotel,0x80c2b362ee533fa7:0xc66ec267bc79011e,,5.0,1,,,{},,"['0x80c2b382e8ed08cf:0xb67198abd9f3b441', '0x80c2b74d28c2e5f1:0x18eaf4e49f287ff', '0x80c2b37859a44feb:0x490cf8e1d063a330', '0x80c2b0ebba83e411:0x91182ce0c6ee7c83', '0x80c2bb9b6cb287ab:0xc38ffb362418589a']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80c2b362ee533fa7:0xc66ec267bc79011e?authuser=-1&hl=en&gl=us
Pelican Hill,"Pelican Hill, Boulder Knolls Rd, Escondido, CA 92026",33.2327471,-117.1391269,Hotel,0x80db89906f85b56b:0x251e7de58d897330,,4.4,8,,,{},,"['0x80db8991302d9e45:0x4dde4a7672c9c6ef', '0x80dbf4f498524ad5:0x194a2b50e36b8de9', '0x80dc7436f81dff83:0x9a845c88d0333084', '0x80dc715864af727f:0x93c1984eafb3bdae']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80db89906f85b56b:0x251e7de58d897330?authuser=-1&hl=en&gl=us
Burney Falls Lodging,"Burney Falls Lodging, 37371 Main St, Burney, CA 96013",40.8872772,-121.6549849,"Hotel, Property management company",0x54cd0d20f847e9e1:0xf224fa4ea6e41bcd,,4.3,18,,,{},,"['0x54cd0ce1de1fc221:0xb8d7c24f128d6137', '0x54cd0cffa110070d:0xe30e1b37612bb4d5', '0x54cd0cfe2ea548bf:0x6e0799a9a6bef81b', '0x54cd083c8d49a4f9:0x194cf64e4cac0bf2', '0x54cd0cfe3fcb514d:0xa878a6aa37b8221f']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x54cd0d20f847e9e1:0xf224fa4ea6e41bcd?authuser=-1&hl=en&gl=us
Lytton Station Vineyard Vista,"Lytton Station Vineyard Vista, 657 Lytton Station Rd, Geyserville, CA 95441",38.6636619,-122.8610227,Hotel,0x80841051312f2585:0xa9f6d1e681f84ccc,,5.0,1,,,{},,"['0x8084050004d984c7:0x32b8e2167f6c333b', '0x808405606e38cfd1:0x2ad93e9359024091', '0x8084057afae5c5b1:0xad4a9564edd84660', '0x808417001a6e7ea5:0x3f700f6154572ff0', '0x8083ff6c09560b45:0x3b0781d20002e8c9']",https://www.google.com/maps/place//data=!4m2!3m1!1s0x80841051312f2585:0xa9f6d1e681f84ccc?authuser=-1&hl=en&gl=us
Pine Cliff Resort,"Pine Cliff Resort, 150 Woodman St, Mammoth Lakes, CA 93546",37.6259924,-118.9880671,"Cabin rental agency, Hotel",0x80960c5b4af198e7:0x1756cba0b44b78a2,,5.0,8,,,{},,,https://www.google.com/maps/place//data=!4m2!3m1!1s0x80960c5b4af198e7:0x1756cba0b44b78a2?authuser=-1&hl=en&gl=us
